DSSTORE,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\恢复\4.CLIL\CLIL3_Winston+Ellie_1\CLIL3_40\CLIL3_U1_Time Zones\.DS_Store
BF1U1MYCLASSL10PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\BF1_U1 My Class_L1_V4.0.pptx
BF1U1MYCLASSL20PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\BF1_U1 My Class_L2_V4.0.pptx
ONLINEBF1U1MYCLASSL30DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L3_LP_V1.0.doc
ONLINEBF1U1MYCLASSL30PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L3_V1.0.pptx
ONLINEBF1U1MYCLASSL40DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L4_LP_V1.0.doc
ONLINEBF1U1MYCLASSL40PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L4_V1.0.pptx
ONLINEBF1U1MYCLASSL50DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L5_LP_V1.0.doc
ONLINEBF1U1MYCLASSL50PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L5_V1.0.pptx
ONLINEBF1U1MYCLASSL60DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L6_LP_V1.0.doc
ONLINEBF1U1MYCLASSL60PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L6_V1.0.pptx
ONLINEBF1U1MYCLASSL70DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L7_LP_V1.0.doc
ONLINEBF1U1MYCLASSL70PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L7_V1.0.pptx
ONLINEBF1U1MYCLASSL80DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L8_LP_V1.0.doc
ONLINEBF1U1MYCLASSL80PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF1\Unit 1\Online_BF1_U1 My Class_L8_V1.0.pptx
ONLINEBF2U1MYSCHOOLL10DOCX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF2\Unit 1\Online_BF2_U1 My School_L1_LP_V1.0.docx
ONLINEBF2U1MYSCHOOLL10PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF2\Unit 1\Online_BF2_U1 My School_L1_V2.0.pptx
ONLINEBF2U1MYSCHOOLL60PPTX,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF2\Unit 1\Online_BF2_U1 My School_L6_V2.0.pptx
ONLINEBF3U1ATSCHOOLL10DOC,\\10.0.99.99\PPT\2.标准化课件 Standardized Courseware\1.online\1.BIG Fun_Axelia\BF3\Unit 1\Online_BF3_U1 At School_L1_LP_V1.0.doc
